water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,4,15.444,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,5,17.045,,18.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,6,21.307,,16.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,7,19.547,,14.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,8,19.354,,13.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,9,21.993,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,10,20.177,,6.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,11,22.671,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,12,23.134,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,13,22.680,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,14,25.200,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,15,28.000,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,1,14.000,76.000,52.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,2,16.800,,45.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,3,15.120,,22.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,4,16.632,,21.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,5,15.828,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,6,19.785,,16.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,7,18.151,,14.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,8,17.971,,14.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,9,20.422,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,10,18.736,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,11,21.052,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,12,21.481,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,13,21.060,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,14,23.400,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,2,,15,26.000,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,1,12.000,49,32.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,2,14.400,,28.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,3,12.960,,27.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,4,14.256,,27.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,5,12.784,,23.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,6,15.980,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,7,14.661,,17.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,8,14.515,,16.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,9,16.495,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,10,15.133,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,11,17.003,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,12,17.350,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,13,17.010,,8.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,14,18.900,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,3,,15,21.000,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,1,14.000,102.000,65.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,2,16.800,,40.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,3,15.120,,26.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,4,16.632,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,5,17.654,,18.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,6,22.068,,17.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,7,20.246,,15.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,8,20.045,,14.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,9,22.779,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,10,20.898,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,11,23.481,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,12,23.960,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,13,23.490,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,14,26.100,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,4,,15,29.000,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,1,15.000,101.000,64.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,2,18.000,,35.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,3,16.200,,30.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,4,17.820,,26.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,5,17.654,,25.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,6,22.068,,24.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,7,20.246,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,8,20.045,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,9,22.779,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,10,20.898,,8.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,11,23.481,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,12,23.960,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,13,23.490,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,14,26.100,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,5,,15,29.000,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,1,13.000,97.000,22.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,2,15.600,,21.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,3,14.040,,19.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,4,15.444,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,5,15.219,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,6,19.024,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,7,17.453,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,8,17.280,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,9,19.637,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,10,18.015,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,11,20.242,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,12,20.655,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,13,20.250,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,14,22.500,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,6,,15,25.000,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,1,13.714,97.000,26.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,2,16.457,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,3,14.811,,16.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,4,16.293,,15.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,5,14.610,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,6,18.263,,8.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,7,16.755,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,8,16.589,,6.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,9,18.851,,6.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,10,17.295,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,11,19.432,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,12,19.829,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,13,19.440,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,14,21.600,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,7,,15,24.000,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,1,12.000,94.000,21.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,2,14.400,,19.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,3,12.960,,18.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,4,14.256,,15.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,5,15.219,,15.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,6,19.024,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,7,17.453,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,8,17.280,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,9,19.637,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,10,18.015,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,11,20.242,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,12,20.655,,3.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,13,20.250,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,14,22.500,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,8,,15,25.000,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,1,14.000,115,35.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,2,16.800,,25.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,3,15.120,,21.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,4,16.632,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,5,15.828,,20.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,6,19.785,,14.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,7,18.151,,13.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,8,17.971,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,9,20.422,,12.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,10,18.736,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,11,21.052,,8.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,12,21.481,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,13,21.060,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,14,23.400,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,9,,15,26.000,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,1,13.000,84.000,21.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,2,15.600,,19.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,3,14.040,,19.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,4,15.444,,15.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,5,13.393,,10.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,6,16.741,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,7,15.359,,9.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,8,15.207,,7.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,9,17.280,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,10,15.853,,5.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,11,17.813,,4.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,12,18.176,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,13,17.820,,2.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,14,19.800,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Female Rats,10,,15,22.000,,1.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,1,15.000,78.000,40.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,2,18.000,,31.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,3,16.200,,18.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,4,17.820,,18.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,5,12.175,,17.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,6,15.219,,17.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,7,13.962,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,8,13.824,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,9,15.709,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,10,14.412,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,11,16.194,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,12,16.524,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,13,16.200,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,14,18.000,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,1,,15,20.000,,2.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,1,14.000,92,42.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,2,16.800,,41.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,3,15.120,,20.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,4,16.632,,20.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,5,14.002,,18.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,6,17.502,,17.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,7,16.057,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,8,15.898,,17.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,9,18.066,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,10,16.574,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,11,18.623,,3.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,12,19.003,,4.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,13,18.630,,9.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,14,20.700,,4.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,2,,15,23.000,,3.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,1,16.000,92,43.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,2,19.200,,42.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,3,17.280,,28.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,4,19.008,,21.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,5,13.393,,20.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,6,16.741,,18.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,7,15.359,,17.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,8,15.207,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,9,17.280,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,10,15.853,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,11,17.813,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,12,18.176,,6.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,13,17.820,,2.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,14,19.800,,2.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,3,,15,22.000,,0.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,1,13.000,71.000,49.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,2,15.600,,47.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,3,14.040,,33.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,4,15.444,,30.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,5,12.784,,23.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,6,15.980,,20.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,7,14.661,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,8,14.515,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,9,16.495,,12.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,10,15.133,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,11,17.003,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,12,17.350,,7.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,13,17.010,,6.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,14,18.900,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,4,,15,21.000,,4.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,1,15.000,70.000,48.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,2,18.000,,48.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,3,16.200,,34.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,4,17.820,,32.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,5,12.175,,23.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,6,15.219,,21.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,7,13.962,,18.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,8,13.824,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,9,15.709,,12.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,10,14.412,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,11,16.194,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,12,16.524,,7.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,13,16.200,,6.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,14,18.000,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Male Rats,5,,15,20.000,,3.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,1,11.571,81.000,38.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,2,13.886,,37.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,3,12.497,,14.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,4,13.747,,14.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,5,11.566,,13.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,6,14.458,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,7,13.264,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,8,13.133,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,9,14.924,,8.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,10,13.692,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,11,15.384,,4.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,12,15.698,,4.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,13,15.390,,2.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,14,17.100,,1.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,6,,15,19.000,,0.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,1,11.000,84.000,37.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,2,13.200,,28.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,3,11.880,,15.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,4,13.068,,14.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,5,10.958,,13.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,6,13.697,,11.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,7,12.566,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,8,12.442,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,9,14.138,,9.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,10,12.971,,6.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,11,14.574,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,12,14.872,,5.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,13,14.580,,3.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,14,16.200,,3.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,7,,15,18.000,,2.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,1,13.000,75.000,40.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,2,15.600,,26.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,3,14.040,,14.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,4,15.444,,13.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,5,12.175,,13.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,6,15.219,,10.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,7,13.962,,9.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,8,13.824,,7.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,9,15.709,,7.000
"Group 6 (Ground water Collected for Prakash nagar cology, Tirupati)",Group 6 Female Rats,8,,10,14.412,,5.000
