water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,4,15.444,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,5,15.828,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,6,19.785,,9.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,7,18.151,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,8,17.971,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,9,20.422,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,10,18.736,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,11,21.052,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,12,21.481,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,13,21.060,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,14,23.400,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,15,26.000,,1.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,1,14.000,117.000,27.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,2,16.800,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,3,15.120,,18.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,4,16.632,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,5,15.219,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,6,19.024,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,7,17.453,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,8,17.280,,9.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,9,19.637,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,10,18.015,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,11,20.242,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,12,20.655,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,13,20.250,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,14,22.500,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,,15,25.000,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,1,14.886,74.000,57.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,2,17.863,,46.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,3,16.077,,32.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,4,17.684,,25.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,5,13.393,,24.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,6,16.741,,18.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,7,15.359,,13.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,8,15.207,,12.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,9,17.280,,12.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,10,15.853,,11.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,11,17.813,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,12,18.176,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,13,17.820,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,14,19.800,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,,15,22.000,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,1,16.000,77.000,58.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,2,19.200,,32.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,3,17.280,,26.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,4,19.008,,24.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,5,12.784,,22.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,6,15.980,,16.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,7,14.661,,15.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,8,14.515,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,9,16.495,,9.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,10,15.133,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,11,17.003,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,12,17.350,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,13,17.010,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,14,18.900,,3.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,,15,21.000,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,1,14.000,74,48.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,2,16.800,,41.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,3,15.120,,21.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,4,16.632,,18.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,5,14.002,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,6,17.502,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,7,16.057,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,8,15.898,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,9,18.066,,9.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,10,16.574,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,11,18.623,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,12,19.003,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,13,18.630,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,14,20.700,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,,15,23.000,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,1,13.000,97.000,42.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,2,15.600,,33.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,3,14.040,,30.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,4,15.444,,23.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,5,15.219,,20.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,6,19.024,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,7,17.453,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,8,17.280,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,9,19.637,,16.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,10,18.015,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,11,20.242,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,12,20.655,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,13,20.250,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,14,22.500,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,,15,25.000,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,1,14.000,113.000,54.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,2,16.800,,37.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,3,15.120,,25.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,4,16.632,,20.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,5,16.437,,20.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,6,20.546,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,7,18.849,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,8,18.663,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,9,21.208,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,10,19.457,,9.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,11,21.861,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,12,22.307,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,13,21.870,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,14,24.300,,3.000
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,,15,27.000,,3.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,1,12.229,92,31.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,2,14.674,,26.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,3,13.207,,22.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,4,14.528,,17.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,5,14.002,,15.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,6,17.502,,14.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,7,16.057,,13.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,8,15.898,,12.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,9,18.066,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,10,16.574,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,11,18.623,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,12,19.003,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,13,18.630,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,14,20.700,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,6,,15,23.000,,1.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,1,11.000,96,28.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,2,13.200,,25.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,3,11.880,,15.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,4,13.068,,11.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,5,14.002,,14.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,6,17.502,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,7,16.057,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,8,15.898,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,9,18.066,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,10,16.574,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,11,18.623,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,12,19.003,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,13,18.630,,3.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,14,20.700,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,7,,15,23.000,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,1,12.229,112.000,30.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,2,14.674,,28.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,3,13.207,,14.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,4,14.528,,12.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,5,14.610,,11.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,6,18.263,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,7,16.755,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,8,16.589,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,9,18.851,,6.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,10,17.295,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,11,19.432,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,12,19.829,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,13,19.440,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,14,21.600,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,8,,15,24.000,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,1,13.000,92.000,28.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,2,15.600,,24.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,3,14.040,,15.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,4,15.444,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,5,12.784,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,6,15.980,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,7,14.661,,10.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,8,14.515,,8.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,9,16.495,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,10,15.133,,7.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,11,17.003,,5.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,12,17.350,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,13,17.010,,4.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,14,18.900,,3.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,9,,15,21.000,,2.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,1,10.000,102,29.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,2,12.000,,25.000
Group 2 (RO water with 50-75 TDS),Group 2 Female Rats,10,,3,10.800,,17.000
